acao_legislativa,autor,casa,data,descricao_ementa,identificacao,id_principal,local,id_documento
NA," Comissão de Constituição, Justiça e Cidadania",senado,31/05/2017,Listagem ou relatório descritivo-Lista de Presença da reunião da 18ª Reunião CCJ, Listagem ou relatório descritivo ,103831,"Comissão de Constituição, Justiça e Cidadania",455
"Na 18ª Reunião Ordinária, realizada nesta data, a Comissão aprova o Relatório do Senador Cidinho Santos, que passa a constituir o Parecer da CCJ, favorável ao Projeto, com a Emenda nº 1-CCJ (Substitutivo). Manifesta-se pela abstenção a Senadora Simone Tebet."," Comissão de Constituição, Justiça e Cidadania, Comissão de Constituição, Justiça e Cidadania, Senador Cidinho Santos (PL/MT)",senado,31/05/2017,NA, P.S 55/2017 - CCJ ,103831,"Comissão de Constituição, Justiça e Cidadania",456
"O relator, senador Pedro Chaves, apresentou relatório favorável ao projeto, nos termos da Emenda nº 1 - CCJ (Substitutivo), com 2 (duas) subemendas de sua autoria (fls. 76-83).",Senador Pedro Chaves (PSC/MS),senado,31/10/2017,NA, Relatório Legislativo ,103831,Comissão de Assuntos Econômicos,457
"O relator, senador Pedro Chaves, apresentou relatório reformulado favorável ao projeto, nos termos da Emenda nº 1 - CCJ (Substitutivo), com duas subemendas apresentadas.",Senador Pedro Chaves (PSC/MS),senado,23/11/2017,NA, Relatório Legislativo ,103831,Comissão de Assuntos Econômicos,458
NA, Comissão de Assuntos Econômicos,senado,28/11/2017,Listagem ou relatório descritivo-Lista de Presença da reunião da 51ª Reunião CAE, Listagem ou relatório descritivo ,103831,Comissão de Assuntos Econômicos,459
"Em reunião realizada nesta data, a comissão aprova o relatório, que passa a constituir o parecer da CAE, favorável ao projeto com a Emenda nº 1 - CCJ/CAE (Substitutivo) e com as Subemendas nºs 1 e 2 - CAE. Anexado o parecer da comissão. À CMA."," Comissão de Assuntos Econômicos, Comissão de Assuntos Econômicos, Senador Pedro Chaves (PSC/MS), Senador Pedro Chaves (PSC/MS)",senado,28/11/2017,NA, P.S 122/2017 - CAE ,103831,Comissão de Assuntos Econômicos,460
"Em reunião extraordinária realizada nesta data, foi incluído extra-pauta, lido e aprovado o RMA nº 1 de 2018, de autoria do senador Pedro Chaves, para realização de seminário sobre o Projeto de Lei do Senado nº 750 de 2011, do qual é relator, nas Assembleias Legislativas dos Estados de Mato Grosso e Mato Grosso do Sul. Requerimento juntado às fls. 94 e 95; Lista presença à fl. 96.",Senador Pedro Chaves (PRB/MS),senado,06/03/2018,"Requer a realização de Seminário, no âmbito da Comissão de Meio Ambiente (CMA), para instruir o Projeto de Lei do Senado nº 750, de 2011, que dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal, nas Assembleias Legislativas dos Estados de Mato Grosso e Mato Grosso do Sul, nos municípios de Cuiabá e Campo Grande respectivamente.", RMA 1/2018 ,103831,Comissão de Meio Ambiente,461
"Recebido relatório do senador Pedro Chaves, com voto pela aprovação do Projeto de Lei do Senado nº 750 de 2011, na forma da Emenda nº 1-CMA (Substitutivo). (fls. 97 a 112) ************* Retificado em 08/11/2018************* Recebido relatório do senador Pedro Chaves, com voto pela aprovação do Projeto de Lei do Senado nº 750 de 2011, na forma do Substitutivo oferecido. (fls. 97 a 112)",Senador Pedro Chaves (PRB/MS),senado,04/06/2018,Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências., Relatório Legislativo ,103831,Comissão de Meio Ambiente,462
"Recebido relatório do senador Pedro Chaves, com voto pela aprovação do Projeto de Lei do Senado nº 750 de 2011, na forma da Emenda nº 1-CMA (Substitutivo). (fls. 113 a 128) ************* Retificado em 19/10/2018************* Recebido relatório do senador Pedro Chaves, com voto pela aprovação do Projeto de Lei do Senado nº 750 de 2011, na forma do Substitutivo oferecido. (fls. 113 a 128)",Senador Pedro Chaves (PRB/MS),senado,06/09/2018,Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências., Relatório Legislativo ,103831,Comissão de Meio Ambiente,463
"Recebido novo relatório do senador Pedro Chaves, com voto pela aprovação do Projeto de Lei do Senado nº 750 de 2011, na forma do Substitutivo oferecido. (fls. 129 a 144).",Senador Pedro Chaves (PRB/MS),senado,23/10/2018,Dispõe sobre a Política de Gestão e Proteção do Bioma Pantanal e dá outras providências., Relatório Legislativo ,103831,Comissão de Meio Ambiente,464
NA,Senador Cidinho Santos (PL/MT),senado,06/11/2018,Oitiva da Comissão de Agricultura e Reforma Agrária sobre o Projeto de Lei do Senado nº 750/2011., RQS 525/2018 ,103831,Plenário do Senado Federal,465
"Encaminhado à publicação o RQS 525/2018, de autoria do Senador Cidinho Santos, solicitando oitiva da CRA sobre a presente matéria. O Requerimento será incluído em Ordem do Dia oportunamente.", Senado Federal,senado,13/11/2018,RQS 525/2018, Avulso de requerimento ,103831,Plenário do Senado Federal,466
"Recebido nesta Comissão, nesta data. Anexa-se o Ofício nº 18/CEHIDRO/2018, da Secretaria de Meio Ambiente do Estado do Mato Grosso, que encaminha Moção nº 31/CEHIDRO/SEMA/2018 onde sugere alterações ao Projeto de Lei do Senado nº 750/2011. (fls. 148 a 150)", Secretaria de Estado do Meio Ambiente do Governo do Estado do Mato Grosso,senado,28/11/2018,"Ofício nº 18/CEHIDRO/2018, da Secretaria de Meio Ambiente do Estado do Mato Grosso, que encaminha Moção nº 31/CEHIDRO/SEMA/2018 onde sugere alterações ao Projeto de Lei do Senado nº 750/2011", Ofício ,103831,Comissão de Meio Ambiente,467
"Juntados aos autos do processo o original de manifestação do Ofício nº 17/CEHIDRO/2018, do Conselho Estadual de Recursos Hídricos do Estado de Mato Grosso, e a cópia da carta-resposta encaminhada pelo Secretário-Geral da Mesa, Luiz Fernando Bandeira de Mello. (fls. 151/154)",Ente Jurídico,senado,18/12/2018,"Ofício nº 17/CEHIDRO/2018, do Conselho Estadual de Recursos Hídricos", Ofício ,103831,Plenário do Senado Federal,468
NA,NA,senado,27/02/2013,NA, Legislação citada ,111048,NA,469
"Recebido, às 13h50min, o Relatório do Senador Walter Pinheiro, com voto pela constitucionalidade, juridicidade e boa técnica legislativa e, quanto ao mérito, favorável ao Projeto, nos termos do Substitutivo que apresenta. Matéria pronta para a Pauta na Comissão. ",Senador Walter Pinheiro (PT/BA),senado,03/09/2015,NA, Relatório Legislativo ,111048,"Comissão de Constituição, Justiça e Cidadania",470
"Recebido, às 8h31min, o Relatório reformulado pelo Senador Walter Pinheiro, com voto pela constitucionalidade, juridicidade e boa técnica legislativa e, quanto ao mérito, favorável ao Projeto, nos termos do Substitutivo que apresenta. Matéria incluída na Pauta na Comissão.",Senador Walter Pinheiro (PT/BA),senado,30/09/2015,NA, Relatório Legislativo ,111048,"Comissão de Constituição, Justiça e Cidadania",471
"Na 28ª Reunião Ordinária, realizada nesta data, a Comissão aprova o Relatório do Senador Walter Pinheiro, que passa a constituir o Parecer da CCJ, favorável ao Projeto, nos termos da Emenda nº 1-CCJ (Substitutivo). ",Senador Walter Pinheiro (PT/BA),senado,30/09/2015,NA, Parecer ,111048,"Comissão de Constituição, Justiça e Cidadania",472
"Na 28ª Reunião Ordinária, realizada nesta data, a Comissão aprova o Relatório do Senador Walter Pinheiro, que passa a constituir o Parecer da CCJ, favorável ao Projeto, nos termos da Emenda nº 1-CCJ (Substitutivo). ",NA,senado,30/09/2015,NA, Parecer ,111048,"Comissão de Constituição, Justiça e Cidadania",473
"Encaminhado à Secretaria-Geral da Mesa para atender a solicitação constante do Of. nº 1316/2015-SF, da Presidência do Senado Federal, referente ao Ofício nº 001/2015-CDEN, formulado pelo Senador Otto Alencar, para o envio da matéria à Comissão do Desenvolvimento Nacional (fls. 279 e 280). À SCLSF. ",NA,senado,30/09/2015,NA, Anexo ,111048,"Comissão de Constituição, Justiça e Cidadania",474
Juntado Relatório do Senador Walter Pinheiro. (fls. 282/369),Senador Walter Pinheiro (S/Partido/BA),senado,01/06/2016,Relatório do Senador Walter Pinheiro, Relatório Legislativo ,111048,Comissão Especial do Desenvolvimento Nacional,475
NA,Senador Roberto Muniz (PP/BA),senado,13/07/2016,NA, EMENDA 3 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,476
NA,Senador Roberto Muniz (PP/BA),senado,13/07/2016,NA, EMENDA 4 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,477
NA,Senador Roberto Muniz (PP/BA),senado,13/07/2016,NA, EMENDA 5 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,478
Juntados: - 04 emendas do Senador Roberto Muniz; (fls. 370/383) - Relatório da Senadora Simone Tebet. (fls. 384/427),NA,senado,13/07/2016,Relatório da Senadora Simone Tebet, Relatório Legislativo ,111048,Comissão Especial do Desenvolvimento Nacional,479
Juntados: - 04 emendas do Senador Roberto Muniz; (fls. 370/383) - Relatório da Senadora Simone Tebet. (fls. 384/427),Senador Roberto Muniz (PP/BA),senado,13/07/2016,NA, EMENDA 2 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,480
Juntados: - 04 emendas do Senador Roberto Muniz; (fls. 370/383) - Relatório da Senadora Simone Tebet. (fls. 384/427),NA,senado,13/07/2016,Emenda nº 2 - Sen. Roberto Muniz, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,481
Juntados: - 04 emendas do Senador Roberto Muniz; (fls. 370/383) - Relatório da Senadora Simone Tebet. (fls. 384/427),NA,senado,13/07/2016,Emenda nº 3 - Sen. Roberto Muniz, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,482
Juntados: - 04 emendas do Senador Roberto Muniz; (fls. 370/383) - Relatório da Senadora Simone Tebet. (fls. 384/427),NA,senado,13/07/2016,Emenda nº 4 - Sen. Roberto Muniz, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,483
Juntados: - 04 emendas do Senador Roberto Muniz; (fls. 370/383) - Relatório da Senadora Simone Tebet. (fls. 384/427),NA,senado,13/07/2016,Emenda nº 5 - Sen. Roberto Muniz, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,484
Juntado Relatório de autoria da Senadora Simone Tebet. (fls.428/475),Senadora Simone Tebet (MDB/MS),senado,16/08/2016,Relatório Senadora Simone Tebet, Relatório Legislativo ,111048,Comissão Especial do Desenvolvimento Nacional,485
NA,Senador Roberto Muniz (PP/BA),senado,16/08/2016,NA, EMENDA 7 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,486
NA,Senador Roberto Muniz (PP/BA),senado,16/08/2016,NA, EMENDA 6 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,487
NA,Senador Roberto Muniz (PP/BA),senado,17/08/2016,NA, EMENDA 8 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,488
NA,Senadora Gleisi Hoffmann (PT/PR),senado,17/08/2016,NA, EMENDA 9 - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,489
"Na presente data, ocorreu a 3ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi aprovado o relatório da Sen. Simone Tebet, pela aprovação do Projeto, nos termos do Substitutivo que apresenta. A matéria será incluída na pauta da próxima reunião, para apreciação em turno suplementar. Juntados: 1. Lista de presença da 3ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 487 e 488); 2. Relatório da Sen. Simone Tebet, aprovado na Comissão Especial do Desenvolvimento Nacional (fls. 489 a 538); 3. Lista de votação nominal do Substitutivo aprovado (fls. 539); 4. Memorando nº 2/2016 – CEDN, que comunica a aprovação do substitutivo na Comissão Especial do Desenvolvimento Nacional (fls. 540).",NA,senado,17/08/2016,Lista de presença da 3ª reunião da CEDN, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,490
"Na presente data, ocorreu a 3ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi aprovado o relatório da Sen. Simone Tebet, pela aprovação do Projeto, nos termos do Substitutivo que apresenta. A matéria será incluída na pauta da próxima reunião, para apreciação em turno suplementar. Juntados: 1. Lista de presença da 3ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 487 e 488); 2. Relatório da Sen. Simone Tebet, aprovado na Comissão Especial do Desenvolvimento Nacional (fls. 489 a 538); 3. Lista de votação nominal do Substitutivo aprovado (fls. 539); 4. Memorando nº 2/2016 – CEDN, que comunica a aprovação do substitutivo na Comissão Especial do Desenvolvimento Nacional (fls. 540).",NA,senado,17/08/2016,Lista de votação nominal do Substitutivo aprovado na CEDN., Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,491
"Na presente data, ocorreu a 3ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi aprovado o relatório da Sen. Simone Tebet, pela aprovação do Projeto, nos termos do Substitutivo que apresenta. A matéria será incluída na pauta da próxima reunião, para apreciação em turno suplementar. Juntados: 1. Lista de presença da 3ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 487 e 488); 2. Relatório da Sen. Simone Tebet, aprovado na Comissão Especial do Desenvolvimento Nacional (fls. 489 a 538); 3. Lista de votação nominal do Substitutivo aprovado (fls. 539); 4. Memorando nº 2/2016 – CEDN, que comunica a aprovação do substitutivo na Comissão Especial do Desenvolvimento Nacional (fls. 540).",Senadora Simone Tebet (MDB/MS),senado,17/08/2016,Parecer aprovado na CEDN em 17/8/2016 - substitutivo de autoria da Sen. Simone Tebet, Parecer ,111048,Comissão Especial do Desenvolvimento Nacional,492
"Na presente data, ocorreu a 3ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foi aprovado o relatório da Sen. Simone Tebet, pela aprovação do Projeto, nos termos do Substitutivo que apresenta. A matéria será incluída na pauta da próxima reunião, para apreciação em turno suplementar. Juntados: 1. Lista de presença da 3ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 487 e 488); 2. Relatório da Sen. Simone Tebet, aprovado na Comissão Especial do Desenvolvimento Nacional (fls. 489 a 538); 3. Lista de votação nominal do Substitutivo aprovado (fls. 539); 4. Memorando nº 2/2016 – CEDN, que comunica a aprovação do substitutivo na Comissão Especial do Desenvolvimento Nacional (fls. 540).",NA,senado,17/08/2016,Memorando nº 2/2016 - CEDN, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,493
NA,Senador Lindbergh Farias (PT/RJ),senado,05/10/2016,NA, EMENDA 11/S - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,494
NA,Senador Lindbergh Farias (PT/RJ),senado,05/10/2016,NA, EMENDA 12/S - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,495
NA,Senador Lindbergh Farias (PT/RJ),senado,05/10/2016,NA, EMENDA 15/S - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,496
NA,Senador Lindbergh Farias (PT/RJ),senado,05/10/2016,NA, EMENDA 14/S / CEDN - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,497
NA,Senador Lindbergh Farias (PT/RJ),senado,05/10/2016,NA, EMENDA 13/S - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,498
"Juntado Relatório de autoria da Senadora Simone Tebet, referente às emendas apresentadas em turno suplementar. (fls. 547/550)",Senadora Simone Tebet (MDB/MS),senado,18/10/2016,Relatório Senadora Simone Tebet, Relatório Legislativo ,111048,Comissão Especial do Desenvolvimento Nacional,499
NA,Senador Lindbergh Farias (PT/RJ),senado,09/11/2016,NA, EMENDA 16/S - PLS 52/2013 ,111048,Comissão Especial do Desenvolvimento Nacional,500
"Juntados: Emenda n°16/2016 CEDN e Requerimentos de destaque n° 1, 2 e 3 /2016-CEDN, de autoria do Senador Lindbergh Farias ao turno suplementar. (fls. 551/557)",NA,senado,09/11/2016,Requerimento de destaque n° 1, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,501
"Juntados: Emenda n°16/2016 CEDN e Requerimentos de destaque n° 1, 2 e 3 /2016-CEDN, de autoria do Senador Lindbergh Farias ao turno suplementar. (fls. 551/557)",NA,senado,09/11/2016,Requerimento de destaque n° 2, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,502
"Juntados: Emenda n°16/2016 CEDN e Requerimentos de destaque n° 1, 2 e 3 /2016-CEDN, de autoria do Senador Lindbergh Farias ao turno suplementar. (fls. 551/557)",NA,senado,09/11/2016,Requerimento de destaque n° 3, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,503
Juntada manifestação da Associação da Indústria Farmacêutica de Pesquisa. (fls. 558/560),NA,senado,21/11/2016,Manifestação Interfarma, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,504
"Nesta data, ocorreu a 9ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foram aprovados, em turno suplementar e em caráter terminativo, o Substitutivo ao Projeto e a Emenda nº 14. Juntados: 1. Lista de presença da 9ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 561); 2. Listas de votação nominal do Substitutivo (fls.562/564); 3. Texto final do Substitutivo ao Projeto (fls. 565/585); 4. Memorando nº 3/2016 - CEDN, que comunica a aprovação do Projeto em caráter terminativo (fls. 586); - Encaminhado à SLSF.",NA,senado,23/11/2016,Lista presença 9ª reunião, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,505
"Nesta data, ocorreu a 9ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foram aprovados, em turno suplementar e em caráter terminativo, o Substitutivo ao Projeto e a Emenda nº 14. Juntados: 1. Lista de presença da 9ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 561); 2. Listas de votação nominal do Substitutivo (fls.562/564); 3. Texto final do Substitutivo ao Projeto (fls. 565/585); 4. Memorando nº 3/2016 - CEDN, que comunica a aprovação do Projeto em caráter terminativo (fls. 586); - Encaminhado à SLSF.",NA,senado,23/11/2016,Listas de votação, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,506
"Nesta data, ocorreu a 9ª reunião da Comissão Especial do Desenvolvimento Nacional, oportunidade em que foram aprovados, em turno suplementar e em caráter terminativo, o Substitutivo ao Projeto e a Emenda nº 14. Juntados: 1. Lista de presença da 9ª reunião da Comissão Especial do Desenvolvimento Nacional (fls. 561); 2. Listas de votação nominal do Substitutivo (fls.562/564); 3. Texto final do Substitutivo ao Projeto (fls. 565/585); 4. Memorando nº 3/2016 - CEDN, que comunica a aprovação do Projeto em caráter terminativo (fls. 586); - Encaminhado à SLSF.",NA,senado,23/11/2016,Memorando n° 003/2013 - CEDN, Anexo ,111048,Comissão Especial do Desenvolvimento Nacional,507
"Encaminhados à publicação os seguintes pareceres: - Parecer nº 907, de 2016-CCJ, relator Senador Walter Pinheiro, favorável nos termos do Substitutivo que apresenta - Emenda nº 1-CCJ; e - Parecer nº 908, de 2016-CEDN, relatora Senadora Simone Tebet, favorável ao projeto nos termos do Substitutivo que apresenta. (Consolidado no Texto Final) Encaminhado à publicação o Memo. nº 3/2016, do Presidente da CEDN, comunicando a aprovação, em caráter terminativo, do Substitutivo (Emenda nº 10-CEDN) com a Emenda nº 14-CEDN, apresentada em turno suplementar. Abertura do prazo de cinco dias úteis para interposição de recurso, por um décimo da composição da Casa, para que a matéria seja apreciada pelo Plenário, nos termos do art. 91, §§ 3º a 5º, do Regimento Interno.",NA,senado,23/11/2016,"Parecer nº 907, de 2016-CCJ", Avulso de parecer ,111048,Plenário do Senado Federal,508
"Encaminhados à publicação os seguintes pareceres: - Parecer nº 907, de 2016-CCJ, relator Senador Walter Pinheiro, favorável nos termos do Substitutivo que apresenta - Emenda nº 1-CCJ; e - Parecer nº 908, de 2016-CEDN, relatora Senadora Simone Tebet, favorável ao projeto nos termos do Substitutivo que apresenta. (Consolidado no Texto Final) Encaminhado à publicação o Memo. nº 3/2016, do Presidente da CEDN, comunicando a aprovação, em caráter terminativo, do Substitutivo (Emenda nº 10-CEDN) com a Emenda nº 14-CEDN, apresentada em turno suplementar. Abertura do prazo de cinco dias úteis para interposição de recurso, por um décimo da composição da Casa, para que a matéria seja apreciada pelo Plenário, nos termos do art. 91, §§ 3º a 5º, do Regimento Interno.",NA,senado,23/11/2016,"Parecer nº 908, de 2016-CEDN", Avulso de parecer ,111048,Plenário do Senado Federal,509
"Remetido Ofício SF nº 1.371, de 06/12/2016, ao Senhor Primeiro-Secretário da Câmara dos Deputados encaminhando autógrafos do projeto para revisão, nos termos do art. 65 da Constituição Federal. (fls. 633 a 656).",NA,senado,06/12/2016,NA, Autógrafo - PLS 52/2013 ,111048,Secretaria de Expediente,510
NA,NA,senado,03/07/2012,NA, Legislação citada ,106330,NA,511
"Recebido nesta Comissão, às 15 horas e 46 minutos, o relatório do Senador Ricardo Ferraço, com voto favorável à Proposta. Matéria pronta para a Pauta na Comissão.",Senador Ricardo Ferraço (MDB/ES),senado,14/11/2012,NA, Relatório Legislativo ,106330,"Comissão de Constituição, Justiça e Cidadania",512
"Recebido nesta Comissão, às 13 horas e 10 minutos, o relatório do Senador Ricardo Ferraço, com voto pela aprovação da Proposta de Emenda à Constituição nº 33, de 2012, e pela rejeição das Propostas de Emenda à Constituição nºs 74 e 83, de 2011. Matéria pronta para a Pauta na Comissão. (Tramitam em conjunto as PEC's nº 74 e 83, de 2011 e 33, de 2012.)",Senador Ricardo Ferraço (MDB/ES),senado,17/04/2013,NA, Relatório Legislativo ,106330,"Comissão de Constituição, Justiça e Cidadania",513
"Recebido nesta Comissão, às 16 horas e 40 minutos, o relatório do Senador Ricardo Ferraço, com voto favorável à Proposta de Emenda à Constituição nº 33, de 2012 e pela rejeição das Propostas de Emenda à Constituição nºs 20, de 1999, 90, de 2003, 74 e 83, de 2011, e 21, de 2013. Matéria pronta para a pauta na Comissão. (Tramitam em conjunto as Propostas de Emenda à Constituição nºs 20, de 1999; 90, de 2003; 74 e 83, de 2011; 33, de 2012; e 21, de 2013)",Senador Ricardo Ferraço (MDB/ES),senado,16/10/2013,NA, Relatório Legislativo ,106330,"Comissão de Constituição, Justiça e Cidadania",514
"Juntei Voto em Separado do Senador Randolfe Rodrigues, contrário às Propostas. (Tramitam em conjunto as PECs nº 20, de 1999, 90, de 2003, 74 e 83, de 2011, 33, de 2012, e 21, de 2013)",NA,senado,11/11/2013,NA, Voto em Separado ,106330,"Comissão de Constituição, Justiça e Cidadania",515
"Na 3ª Reunião Ordinária, realizada nesta data, a Comissão rejeita o Relatório do Senador Ricardo Ferraço. A Presidência designa Relator do Vencido o Senador Randolfe Rodrigues, autor do Voto em Separado, que passa a constituir o Parecer da CCJ, contrário às Propostas (art. 128, do RISF). Votam vencidos os Senadores Ricardo Ferraço, Pedro Taques, Romero Jucá, Cássio Cunha Lima, Armando Monteiro, Magno Malta, Cícero Lucena e Cyro Miranda. (Tramitam em conjunto as Propostas de Emenda à Constituição nºs 20, de 1999; 90, de 2003; 74 e 83, de 2011; 33, de 2012; e 21, de 2013.)",NA,senado,19/02/2014,NA, Parecer ,106330,"Comissão de Constituição, Justiça e Cidadania",516
"Juntado originais de manifestações dos cidadãos Adelina D. Pinheiro e Silva, Noeli Maria Massoni, Sara Holz Ferreira, Silvino Filgueiras Neto, Wanda Morbeck e Roberto Tomé da Silva, encaminhado pela Ouvidoria do Senado Federal. (Fls 101-106). À SSCLSF.",NA,senado,18/05/2015,NA, Documento Não categorizado ,106330,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,517
"Juntado originais de manifestações do Ofício Nº 178/2015/PFDC/MPF (fls. 107-113), Ofício n° 016/2015/CMDCA do Conselho Municipal dos Direitos da Criança e do Adolescente de Governador Valadares - CMDCA/DV (fls. 114-118) e Ofício/CEEd/Nº 192 do Conselho Estadual de Educação do Rio Grande do Sul (fls. 119-123). À SSCLSF.",NA,senado,09/06/2015,NA, Documento Não categorizado ,106330,Secretaria Geral da Mesa,518
"Recebido às 15h04min o relatório do Senador Ricardo Ferraço, com voto favorável à PEC nº 33, de 2012, nos termos do Substitutivo que apresenta, e contrário às PEC's nºs 74, de 2011 e 21, de 2013. Matéria pronta para a Pauta na Comissão. (Tramitam em conjunto: PEC's nºs 74, de 2011; 33, de 2012 e 21, de 2013.) ",Senador Ricardo Ferraço (MDB/ES),senado,20/08/2015,NA, Relatório Legislativo ,106330,"Comissão de Constituição, Justiça e Cidadania",519
"Encaminhado à Secretaria-Geral da Mesa para atender a solicitação constante do OF. SF/1354/2015, da Presidência do Senado Federal, referente a requerimento, formulado pelo Senador Ricardo Ferraço, para tramitação em conjunto das Propostas de Emenda à Constituição nºs 115, de 2015, e 33, de 2012, que tramita em conjunto com as Propostas de Emenda à Constituição nºs 74, de 2011, e 21, de 2013 (fls. 146 e 147). À SCLSF. (Tramitam em conjunto as PECs nºs 74, de 2011; 33, de 2012, e 21, de 2013.) ",NA,senado,25/09/2015,NA, Anexo ,106330,"Comissão de Constituição, Justiça e Cidadania",520
"Recebido, às 10h13min, o Relatório do Senador Ricardo Ferraço, com voto favorável à PEC n° 33, de 2012, nos termos do Substitutivo que apresenta e contrário às PECs n°s 74, de 2011; 21, de 2013 e 115, de 2015. Matéria pronta para a Pauta na Comissão. (Tramitam em conjunto as PECs nºs 74, de 2011; 33, de 2012; 21, de 2013 e 115, de 2015.)",Senador Ricardo Ferraço (PSDB/ES),senado,12/04/2016,NA, Relatório Legislativo ,106330,"Comissão de Constituição, Justiça e Cidadania",521
"Juntei, de ordem da Presidência do Senado Federal, o Ofício nº 7495/2016/SEI/MNPCT/CNPCT/DDDH/SNPDDH, de 29/6/2016, do Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos, à Proposta de Emenda à Constituição nº 33, de 2012, com manifestação sobre a matéria (fls. 175 a 180 da PEC nº 33, de 2012). Matéria aguardando realização de Audiência Pública em data oportuna. (Tramitam em conjunto as PECs nºs 74, de 2011; 33, de 2012; 21, de 2013, e 115, de 2015.) ************* Retificado em 20/10/2016************* Juntei, de ordem da Presidência do Senado Federal, o Ofício nº 7495/2016/SEI/MNPCT/CNPCT/DDDH/SNPDDH, de 29/6/2016, do Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos, à Proposta de Emenda à Constituição nº 33, de 2012, com manifestação sobre a matéria (fls. 175 a 180 da PEC nº 33, de 2012). Matéria pronta para a Pauta na Comissão com voto do Senador Ricardo Ferraço favorável à PEC n° 33, de 2012, nos termos do Substitutivo que apresenta e contrário às PECs n°s 74, de 2011; 21, de 2013 e 115, de 2015. (Tramitam em conjunto as PECs nºs 74, de 2011; 33, de 2012; 21, de 2013, e 115, de 2015.)",NA,senado,19/10/2016,NA, Anexo ,106330,"Comissão de Constituição, Justiça e Cidadania",522
"Recebido, às 13h15min, o Voto em Separado de autoria do Senador Ronaldo Caiado, favorável à PEC n° 115, de 2015, e contrário às PECs n°s 74, de 2011; 33, de 2012; e 21, de 2013. (Tramitam em conjunto as PECs nºs 74, de 2011; 33, de 2012; 21, de 2013, e 115, de 2015.)",Senador Ronaldo Caiado (DEM/GO),senado,20/09/2017,NA, Voto em Separado ,106330,"Comissão de Constituição, Justiça e Cidadania",523
"Recebido, às 19h, o Voto em Separado de autoria do Senador Lindbergh Farias, pela inconstitucionalidade, antijuridicidade e, no mérito, contrário às PECs n°s 74, de 2011; 33, de 2012; 21, de 2013; e 115, de 2015. (Tramitam em conjunto as PECs nºs 74, de 2011; 33, de 2012; 21, de 2013, e 115, de 2015.)",Senador Lindbergh Farias (PT/RJ),senado,26/09/2017,NA, Voto em Separado ,106330,"Comissão de Constituição, Justiça e Cidadania",524
"Recebido às 18h40 o Relatório da Senadora Ana Amélia, com voto favorável ao Projeto. Matéria pronta para a pauta na Comissão.",Senadora Ana Amélia (PP/RS),senado,23/09/2015,NA, Relatório Legislativo ,120768,"Comissão de Educação, Cultura e Esporte",525
